Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Weekend Reservations,Weekday Reservations,Revenue
3.2,67,55.62,2964,30495,14,495,156.8654581,2,9.7,43,5,845592.77
3.3,86,46.76,5008,51898,7,119,198.9442488,6.1,5,19,6,904741.74
3.3,78,50.95,3617,40151,9,231,181.3570758,1.7,6.4,5,20,892546.7
4.3,48,48.53,3063,35006,3,949,296.6691874,1.2,6.4,44,14,528004.9
4.5,38,70.8,2047,29642,14,222,249.2049733,5.2,1,4,1,611648.2
4.7,85,36.08,8689,96335,1,553,198.8500205,6.8,1.2,58,66,700059.37
4.9,35,55.98,2396,24505,14,359,201.6464973,1.6,2.3,13,11,451917.47
3.4,37,62.27,1177,19911,18,258,112.2004282,4.3,5.6,14,14,532544.42
3.6,32,31.98,2849,28788,3,998,233.6882359,1.8,4.9,16,29,239613.84
3.5,54,73.46,2129,27727,6,272,295.7082157,4.3,5.9,14,32,888340.97
3.7,56,46,3297,35240,4,989,82.35782639,5.2,8.2,24,45,586703.5
4.8,30,48.27,2768,30906,1,392,209.3152995,4,8.4,10,28,332649.46
4.2,50,42.15,3738,41365,3,657,179.4703304,6.2,9.8,13,12,482585.5
4.5,53,36.5,2026,24334,18,169,262.6027982,6.3,6,27,12,453822.7
4,65,32.45,2532,24710,3,597,50.01171745,4,4.1,57,58,478935
3.1,83,45.65,1866,18041,16,83,84.14622185,4.5,3.8,30,27,856399.15
3.1,70,28.68,4579,44396,7,997,59.26819653,5,4.1,26,23,463702.02
4.1,53,74.31,3531,36132,9,439,90.73331709,4.4,3.9,40,38,889443.45
4.4,39,63.52,1928,19637,2,983,226.9840701,7.8,4.5,35,29,560579.45
3.4,40,52.09,2597,30228,3,903,84.9178561,2.3,1.7,15,35,471125.8
4.4,36,39.58,3500,44326,1,338,205.5827628,8.7,6.7,34,3,330355.48
4.6,33,72.8,2510,31137,6,616,267.0514394,4,6.1,12,12,545476.65
3.8,70,50.71,2048,20042,15,584,58.65588948,7.5,5.2,20,0,804990.6
4.5,50,40.78,1369,18786,5,942,56.69660397,9,1.7,46,43,465397.22
3.8,46,42.64,2572,30469,13,814,297.4620686,9,1.8,19,16,456457.21
4.4,79,31.62,6552,71182,8,605,218.3186414,5.1,5.9,71,23,578127
4.5,34,39.5,2144,27561,13,149,85.17380544,3.3,1.3,19,33,316363.05
5,56,64.93,3495,44901,19,77,126.6729975,6.5,7.5,31,38,834423.24
3.7,77,38.25,6509,66679,9,625,296.2512883,2.7,9.9,5,41,676416.7
3.8,51,45.1,3500,41577,3,865,106.8041435,8.1,6.4,13,6,523887.65
3.3,58,32.16,1879,18432,14,364,238.2066413,7.4,7.5,33,22,436183.22
3.4,73,36.2,6142,65334,7,876,110.2955193,8.2,5,35,20,608552.1
4.4,81,48.51,3281,39425,13,860,149.6169076,4.9,7,75,42,893757.31
4.8,80,64.08,8397,93598,9,732,270.1760629,6,6.9,33,59,1162766.36
3.8,74,37.17,5484,60258,11,702,57.10973531,1.9,8.4,15,23,632582.38
3.4,81,36.86,1803,24183,9,633,126.8087898,7.2,7.4,43,66,679356.93
3.6,90,33.68,7154,78881,11,604,171.7981771,5.4,7.7,34,27,699320.33
3.9,73,30.55,7579,76695,14,289,206.3736845,5.6,6,58,65,527741.75
3.6,42,35.64,1266,18131,15,830,57.06041374,8.6,5.4,12,3,354816.87
3.5,50,28.98,1595,16633,17,553,152.6677416,8,5.1,26,16,346428.31
4.5,87,44.51,2197,30420,1,468,136.0717955,5.8,4.5,40,83,865426.26
3,33,38.5,845,6773,3,780,56.71665048,4.2,3.4,29,25,290284.65
4.1,33,31.04,1483,21294,3,700,138.8419277,5,1.3,32,21,236810.4
4.6,37,38.33,2881,36712,3,454,282.9220723,4.2,7,35,18,328284.58
3.5,69,52.87,3142,31743,4,761,118.6571107,2.4,9.1,47,30,820561.71
4.2,75,62.23,7641,79231,17,923,196.3978244,6.8,9.4,44,41,1069786.35
4.3,33,27.07,3973,40168,4,203,124.5239268,7.2,6.2,19,24,215872.8
4.3,53,46.23,3933,40350,13,399,76.66653016,9.7,1.8,26,29,566599.26
3.9,60,37.27,1323,12853,7,263,122.43087,5.1,8.9,32,47,509825.28
3.7,58,32.44,812,13451,4,611,167.6897847,10,7.7,31,53,430740.39
4.7,43,49.03,2682,28932,8,98,124.0520995,2.7,3.3,41,8,480783.58
4.5,73,44.27,5373,53996,11,408,206.0423303,6.9,8.2,35,29,740703.07
3.6,42,40.76,1110,19185,19,547,287.2721805,10,5.2,6,40,407103.69
3.2,35,32.26,1617,18387,7,907,67.317891,6.8,9,21,31,269009.27
3.1,82,31.35,5963,62000,9,805,229.2510902,5.1,3.2,24,58,592358.5
3.2,72,35.06,1402,19406,4,396,50.31410177,5.6,8.2,10,47,569589.8
4.2,76,32.84,3253,33688,4,391,50.25537476,8.6,7.4,2,64,568102.3
3.1,50,69.56,3014,36368,1,830,83.22983868,9.5,1.1,4,20,777650.84
3.7,80,47.13,3711,44996,6,472,169.982626,5.1,6.1,54,35,850272.47
4.5,31,73.27,3845,44347,3,488,62.00100873,8,7.4,11,2,518043.39
3.6,74,53.92,6832,68771,3,824,230.5379419,9.4,2.4,43,15,901189.43
4.5,43,56.22,4295,49360,1,293,57.32038628,3.5,5.8,8,6,545357.32
4.5,62,30.45,1131,14681,7,732,173.8579437,5.4,3.7,47,15,430782.55
3.5,45,28.67,808,9803,9,603,219.0246594,10,7.3,10,27,304161.79
4.5,44,61.89,3592,44834,3,957,109.3876515,4.2,5.9,2,11,614770.31
4.5,72,63.73,6845,75931,15,574,194.8245343,6.6,6.6,71,24,1047761.04
3.8,75,36.01,4631,54778,3,829,115.4453537,6.9,1.7,54,29,613096.48
3.4,38,36.39,3333,36607,11,765,103.5243152,2.4,2.2,8,7,325043.28
4,72,53.8,3420,42332,18,343,254.5973536,8.3,6,66,10,885489.8
4.8,62,70.82,3421,40371,3,820,133.2283353,4.7,2.6,42,59,984186.83
4.3,62,41.72,3172,31837,7,249,253.4948917,5.5,5.5,57,41,589910.57
3.3,76,50.68,3684,39056,9,367,104.2273529,6.8,7.2,56,54,873305.52
4.4,54,44.69,4390,50787,17,720,138.9663926,4.7,8.3,41,35,565964.73
3.9,77,57.59,4812,49090,9,249,75.66470341,3.9,2.3,15,48,997038.84
4.2,37,37.9,2866,36688,10,342,174.1250971,5.9,7.7,7,29,332085.5
4.5,36,66.41,921,13516,13,329,145.3985731,4.1,4.3,0,5,543823.79
4,68,54.01,3918,45022,5,141,51.48915491,4.9,7.1,62,34,828911.98
4.6,76,34.53,7918,82455,14,629,166.2137819,2,2.3,42,13,610024.22
4.4,73,68.83,7589,83151,4,113,68.60365911,8.6,5.6,12,36,1130556.1
4.2,59,75.79,4084,42560,14,193,259.2390114,4.7,8.5,44,27,1013903.68
3.3,42,55.19,1809,18915,11,835,173.4232936,1.7,2,1,39,528024.47
4.7,53,40.69,2520,29917,10,629,222.5126741,8.1,8.4,32,51,500449.95
4.9,48,66.57,4077,47369,5,284,255.2839989,1.2,5.1,13,40,720514
3.3,79,39.8,3699,37925,12,473,62.79447644,6.4,8.4,73,4,719435.15
4,36,28.62,3497,39742,15,363,134.2994377,7.3,9.6,3,20,257706.94
3.5,54,25.14,2164,26977,13,172,56.27945674,2.7,2.4,46,48,320157.65
4.5,72,29.3,2754,32199,8,862,62.40664649,2.2,7.1,32,60,484812.95
4.4,51,40.6,4039,40049,4,102,59.45811281,2,3.1,46,5,470346.95
3.3,60,66.19,1648,17776,13,76,169.4766353,9.9,2.2,12,49,896336.99
4.8,39,50.91,4177,50517,15,423,162.6695119,7.8,6.7,4,23,468084.23
3.4,62,54.01,993,16138,9,85,65.31011153,3.8,2,7,51,750846.76
4.6,36,39.15,2017,23871,6,661,115.5921166,4,5.2,7,15,325660.95
3.9,79,48.88,3211,37464,18,190,111.1227989,6.8,6.7,73,6,881354.1
3.7,33,28.73,2412,31077,9,996,124.1537835,5.1,5.5,20,25,230388.41
3.3,89,75.15,2380,24878,6,737,210.1905997,3.4,7.3,54,20,1487947.65
3.3,45,45.54,1263,12099,7,237,224.2668181,1.5,8.2,44,17,466398.09
4.3,69,49.9,2358,24546,12,767,134.7678575,8.1,8.9,62,16,784729.4
4.1,35,57.91,878,16731,4,667,247.0576594,9,6,23,20,461357.83
3.2,38,64.83,1169,14889,11,662,154.465044,2.9,3.5,27,5,559611.77
3.2,82,56.06,5327,51830,3,672,180.6006727,1.6,5.6,30,18,1027942.36
3.1,56,69.53,2018,26301,7,503,86.3874001,2.1,4.5,11,1,869198.33
4.5,47,29.47,1058,15794,2,228,108.223861,4.7,3,44,18,313844.55
4.4,63,39.77,1501,20453,10,63,231.8888089,3.7,5.8,23,51,569799.82
3.1,34,27.37,2711,32315,3,812,294.2605591,1.7,1.2,27,21,216867.03
4.1,42,32.09,2401,30862,17,732,226.1633889,5.1,6.5,17,15,325599.3
3.2,57,66.48,1205,17772,11,308,63.54959646,2.8,8.4,32,24,853504.82
4.8,44,75.49,3646,40057,1,714,85.7228383,1.6,10,14,43,747424.42
4.8,68,61.52,2090,24460,2,83,161.4446355,6.9,9.3,27,10,933056.08
4.4,38,51.89,1015,17918,13,759,233.1432157,6.2,1.8,27,11,454736.8
4.9,75,39.77,1988,23820,14,281,91.48311449,8.4,2.5,39,27,680032.07
4.6,63,38.77,1886,24630,17,242,237.7052841,3.7,2.2,40,1,560993.76
4.7,39,32.34,1857,26398,2,559,188.958931,2.2,6,11,37,289091.66
4.1,38,51.64,3535,43954,17,237,243.6357947,4.2,1.4,22,11,459226.4
3.6,86,40.5,4195,47533,19,799,189.4094035,8,9.4,29,24,802890.65
3.4,62,58.96,2510,27499,9,865,200.6307945,3.2,1.6,23,1,820243.87
3.7,46,39.71,1251,19932,12,546,112.1867665,3.3,4.5,8,32,421492.04
4.3,88,46.64,3332,33881,16,377,230.0474342,2.3,9,57,12,931160.29
3.3,42,55.3,2076,24316,4,770,261.0035921,9.9,9.5,41,23,531758.4
3.5,58,38.86,2361,27392,11,766,267.822702,9.7,5.2,12,19,519697.48
3.9,30,59.18,964,11426,4,964,57.36326315,6.9,5.4,9,19,404564.94
3.5,30,70.09,3443,37872,2,154,206.1494502,2.9,6.7,19,14,476970.37
4.2,34,37.9,2675,32993,10,340,297.3845835,7.9,4.7,18,11,305944.65
4.8,37,42.92,1564,20587,9,291,196.7289141,6.3,3.9,3,36,367511.99
4.5,87,35.28,2355,31497,17,146,92.81725188,7.7,7.7,25,7,703418.15
4.3,73,35.75,3071,37980,12,926,269.4020227,8.7,6.4,50,30,602302.75
4.2,50,65.33,3458,39651,4,926,116.0766037,3.9,5.3,17,37,736512.87
4,84,58.35,6188,62658,9,541,61.25336489,9.2,1.9,83,28,1107930.35
3.4,89,48.81,3017,33330,14,850,157.629492,9.1,1.6,42,17,981477.5
4.8,53,31.15,4258,46740,4,987,75.06817335,5.9,5.6,20,19,383220.9
3.5,78,36.14,4518,45660,2,164,78.81057171,7.2,6.6,39,71,639606.88
3.2,89,32.81,1652,16307,18,359,165.8222869,4.7,6.9,22,45,669509.33
4.5,59,62.89,2929,37382,13,600,203.170853,6.9,9.1,10,36,843957.23
3.4,64,27.59,1874,23743,10,159,276.3480154,5.9,8.3,58,23,410352.38
3.7,52,38.47,1184,14177,14,241,226.3132335,3.9,2.3,5,0,458355.56
3.1,31,65.22,1226,17660,9,727,260.6507879,3.9,8.1,5,25,463911.18
3.3,34,32.88,1978,25244,11,855,152.9461036,6.9,7.1,10,2,269158.24
3.3,50,56.12,999,17696,1,634,129.6479238,9.6,8.5,35,37,632255.94
3.1,60,63.03,1841,17657,12,997,198.2100667,2.8,8.6,7,10,852624.06
4.3,61,70.8,1556,20410,17,161,223.8748919,4.5,4.1,23,41,975324.9
4.7,32,29.81,4171,48795,17,918,192.0626112,8.3,3.4,10,7,242797.5
3.7,45,32.6,2218,23330,8,352,116.1303185,2.1,6,9,40,340117.9
4.7,83,45.4,4216,48998,17,943,142.4309723,9.9,3.7,18,42,862419.7
3.4,81,37.46,6391,65703,13,626,162.0761765,7.1,4.1,23,2,698163.09
3.7,69,61.78,1810,23157,13,405,53.53797602,9.2,1.6,32,20,959852.99
3.3,45,54.32,969,17055,15,859,269.9596964,8.5,9.9,39,4,565883.61
4.2,50,59.19,1368,18544,18,151,177.8525424,8,3.8,22,0,676613.88
3.8,37,47.85,3330,40665,13,616,237.7574868,1.3,8,6,13,414547.95
4.2,66,40.71,2891,29304,8,364,92.97782451,4.7,9.9,47,18,612898.19
4.5,86,51.85,1902,25007,7,243,189.1609229,2.8,9.7,4,46,996974.75
4.1,56,59.62,1824,20867,19,123,281.5327929,8.8,6.7,36,19,765234.13
4.3,84,34.64,7401,76791,10,999,103.5691964,7.1,5.8,46,6,672427.77
4.9,78,60.76,8511,90625,12,868,136.4640502,2,3.8,61,59,1079127.27
3.6,53,30.39,1719,23248,2,456,147.0807928,4.2,8.8,24,47,368047.32
3.7,77,67.45,4693,53646,14,956,145.8259029,1.6,4,76,8,1171508.95
4.4,79,69.96,3182,33277,10,341,200.1556485,7.7,2,9,33,1235285.13
4.2,44,37.67,3626,37877,17,233,148.4425616,4.8,3.6,16,41,394134.16
3.4,87,67.42,6359,62115,13,603,218.5136241,3.1,3.8,39,12,1318291.93
3.8,63,75.74,3408,35712,1,407,171.1400821,5.7,7.5,13,3,1061508.22
3.9,54,38.5,2590,29278,15,148,89.40648166,1.4,2.5,10,35,479628.4
3.8,78,30.86,5046,55730,1,689,287.1420589,3.3,3.9,45,18,545428.2
3.4,42,25.21,1793,24971,15,574,109.8790859,2.6,1.7,9,16,254747.88
4.8,48,64.73,2208,26498,15,660,190.617482,9.4,8.6,46,24,714929.76
4.5,80,38.68,4203,42539,14,869,65.17350941,4.4,7.5,45,13,710036.49
4,81,47.15,6094,63718,13,975,279.65542,6.3,4.9,54,4,872005.45
4.4,52,65.27,1511,15451,2,515,281.9990217,5.5,4.9,49,40,760372.84
4.8,71,58.47,6598,69383,8,701,141.135981,6.9,2.5,13,6,937729.11
3.3,44,62.61,2685,29130,9,253,80.24504028,3.5,4.5,29,13,624929.58
3.5,74,64.01,3176,34628,19,454,242.4960291,2.1,9.2,3,51,1072856
4.1,56,33.15,2675,34543,19,189,115.5631691,1.7,2.2,38,3,434978.4
4.6,53,55.09,3840,39250,9,367,225.1539094,2.7,7.9,2,51,665105.9
3.1,54,64.51,3024,35349,7,425,278.7870493,5.3,1.4,20,5,782011.46
5,65,35.94,3637,38689,14,269,197.5595721,3.1,3.8,21,64,540038.75
3.9,64,57.01,2513,29940,2,398,265.3093778,4.9,8.6,3,19,815118.88
3.7,85,68.35,1518,20418,12,472,106.1621131,1.3,5,22,75,1298357.1
3.6,73,62,3128,33075,11,282,277.6076879,6.6,7.3,3,12,1016983.75
3.3,75,38.06,5351,54767,17,349,106.661138,8.9,1.9,69,58,663831.97
4.6,87,35.88,3884,44778,2,181,106.4500282,1.4,7.2,37,56,701685.38
4.9,52,55.81,1929,27101,12,720,269.9672208,3,8.4,48,17,662580.48
3.8,34,44.26,2576,33948,15,969,188.725871,3.9,8.2,24,30,360499.4
4.9,71,75.57,7673,79904,8,475,249.8604035,3.6,4.9,58,45,1211526.34
4.6,45,49.46,1471,23558,8,684,250.6221866,1.4,9.1,1,27,506815.58
4,75,57.47,5013,52178,18,804,211.74033,2,6.2,57,68,984964.9
4.3,84,45.21,4393,45136,14,994,97.26843061,9.2,8.4,61,38,869793.25
3.9,47,67.61,2073,22569,10,283,223.0235088,7.4,2.9,32,19,719311.79
4.1,55,62.7,3503,42862,4,139,65.90866669,9.6,2.9,36,19,776595.6
3.1,82,45.03,4453,51339,16,553,100.1670115,5,7.8,78,49,847120
4.4,82,26.03,4890,56915,16,808,210.7279581,8.9,6.8,20,13,503952.48
3.1,70,41.09,4061,47759,17,709,276.9524492,8.3,7.1,58,14,667465.63
4.6,45,42.65,4389,47667,9,953,242.9232024,8.9,3.1,16,35,448363.75
4.6,53,28.04,1588,21938,11,804,133.1144396,1.4,4.6,46,29,346650.18
3.5,46,31.27,1702,17272,13,466,255.9254452,6.9,3.3,19,17,338588.3
3.6,47,37.87,1358,19627,1,501,291.6493231,6.1,1.6,7,33,400181.06
4,65,34.21,3242,33086,7,983,132.9875853,5.9,2.8,64,25,509857.34
4.2,30,59.98,3194,33003,11,519,96.70635793,5.5,10,2,3,420597.65
3.6,55,53.23,2302,26081,3,981,99.37861417,8.2,3.1,53,46,661794.17
4.2,80,33.32,6402,68432,2,97,150.0809057,9.7,2.4,59,63,609100.04
3.6,55,32.34,1177,12488,14,272,63.08085194,8.5,7.3,37,41,416891.72
3.1,86,47.06,3109,34816,10,697,171.9393361,8.8,6.4,30,67,916291.16
3,33,33.95,2254,30081,17,762,233.0746348,5.4,7.7,7,26,276436.05
3.2,43,25.39,1645,22008,8,800,182.614885,7.2,6.9,24,2,259975.67
4.6,83,38.11,5414,63002,15,515,292.5125616,4.7,3,27,43,726544.27
4.9,49,72.17,3259,34243,6,109,165.4251992,4.2,5.5,24,11,794650.87
3.9,57,32.13,2404,30079,2,329,53.31471129,9.1,2.6,51,35,417459.92
4,71,35.81,7834,86952,15,66,167.5310887,9.1,3.3,0,1,594276.1
3.3,34,38.16,775,12410,16,370,282.4705391,7.1,9.9,15,33,312994.04
4.1,73,36.27,2506,28425,2,728,73.9653384,8.5,7.6,60,30,599799.04
3.3,59,58.5,1814,17828,14,923,105.7418641,4.2,8,2,4,781787.9
4.2,69,59.6,3160,39611,1,616,228.8898166,4.9,1.3,47,19,916601.75
4.9,50,37.84,4379,53138,9,126,123.5251714,8.4,4.4,36,37,441987.72
3.4,52,30.1,2245,24568,17,520,241.3102298,4.6,6,47,10,372430.4
4.5,85,48.04,2310,29514,14,878,154.8310594,1.4,2.3,13,3,917579.94
3,59,46.57,793,11451,10,592,249.0167812,4.2,8.6,13,20,622613.83
3.8,84,66.4,6199,61800,13,150,187.8832339,4.6,2.3,41,61,1257405.7
3.2,73,75.55,5244,51065,13,589,70.61715833,2.4,6.7,48,0,1240591.5
3.7,50,69.14,2059,26208,19,593,146.5340637,4.1,6,39,41,792249.1
3.3,44,70.8,2841,33718,8,312,133.3120825,9.4,8.6,14,36,709340.2
3.7,59,43.07,2960,36708,7,255,252.5202991,8.7,3.8,22,42,579299.35
3.8,89,35.52,6944,74553,17,831,206.2195769,5,3.6,65,61,733901.49
3.6,87,47.65,6989,77291,8,529,244.3502021,7.4,8.6,42,50,943665.3
4.3,65,64.15,3150,30985,4,122,143.0374397,2.4,3,62,52,933706.6
4.8,50,39.48,3756,46276,7,487,222.9358148,7.8,7.7,38,0,457478.04
3.8,38,59.1,2389,31705,17,631,66.30859677,5.3,2.7,10,15,520738.45
3.4,88,29.12,4378,52139,5,740,59.18086441,7.5,8.9,21,1,585695.23
3.5,86,43.33,6299,62674,4,768,121.8669691,6.8,8.6,77,1,845275.16
4.7,39,68.25,3046,38535,19,591,243.4247943,3.1,8.1,16,16,617385
4.1,68,66.29,4093,43638,1,463,183.5218692,8.5,5.4,54,6,1008365.48
3.9,77,27.83,3555,38216,10,705,152.2054477,6.1,1.3,56,61,494906.7
3.3,88,59.26,2293,31041,6,968,274.1586571,8.1,2.2,55,16,1164343.73
3.9,34,65.57,1675,19976,12,720,174.3404009,1.8,5.1,1,20,510012.49
3.6,51,60.27,2989,36125,17,807,203.3472859,6.5,1.4,29,30,705565.31
4.9,44,38.14,986,12195,5,829,296.4571535,3.6,1.6,28,14,380465.67
4.8,66,30.65,1276,13294,9,262,180.5979926,8.7,2.1,0,63,462448.75
3.2,59,55.79,692,5277,9,820,245.8756537,9.5,3.3,34,42,743444.48
4,70,34.84,2047,29003,5,116,153.4563889,1.5,7.7,20,52,550958.33
3.5,90,62.8,6334,67144,19,471,59.08510639,7.5,1.4,69,40,1281883.4
3.8,31,55.64,2791,30202,11,903,258.6180176,1.9,9.9,18,13,403867.4
4.8,38,65.66,1465,17704,12,518,286.1011485,8.7,3.5,34,25,572515.16
4.1,51,49.08,1752,24384,5,420,158.5955061,2.1,3.9,15,29,563021.24
3.7,87,37.14,6351,63285,8,413,175.9090671,2.8,3.2,12,74,735339.21
3.4,81,65.28,1965,23172,17,449,156.0344752,3.3,6.4,77,25,1191514.58
4.6,44,61.39,4531,53100,8,899,299.2264541,7.6,1.2,9,5,616063
4.2,90,58.16,2319,30231,2,309,275.8402634,3.6,1.8,12,66,1161178.13
3.9,89,52.75,2358,29231,18,837,60.27536175,6.4,1.9,69,88,1065254.55
3.4,55,34.12,1822,21755,19,811,244.7546675,6.1,7,12,40,443742.39
3.7,87,26.45,6040,65473,10,94,200.2091862,4.6,4,62,78,534476.5
4.9,62,67.61,2995,34849,7,958,56.28542594,5.9,4.9,17,58,943630.28
4,33,52.07,2284,24804,9,912,161.1780695,2.1,9.5,17,20,399526.68
3.8,81,30.57,3995,47830,12,947,87.42789602,8.9,2.8,27,41,572487.99
4,38,58,1649,23512,12,911,268.2619389,2.9,1.6,5,5,502977.1
4.6,31,32.29,3468,39405,5,336,53.17468919,8.9,5,15,22,240205.79
3.7,85,47.21,2148,21313,11,589,268.2764519,5.7,2.5,24,56,903156.6
3.4,70,52.51,1450,17138,17,378,285.2097872,6.5,2.3,11,52,833474.33
4.2,33,54.08,2493,30156,15,364,68.24611662,3.3,4.7,27,11,417866.5
4.3,84,32.87,2688,31966,11,956,229.9593831,3,7,28,26,629993.8
4.4,69,42.1,2608,32052,15,468,187.2230481,5.4,3.2,53,61,666723.1
4.8,50,75.08,2085,29007,16,354,288.5691801,3.4,8.9,26,14,852565.05
3.7,89,25.64,2989,34683,19,989,249.5374202,4.8,4.3,76,71,535263.97
3.2,44,26.84,699,13502,12,278,223.6035112,5,9.4,15,24,281156.6
4.9,72,39.56,4752,50417,3,799,281.3774302,3.4,5.4,19,42,644842.09
3.9,82,29.1,4065,45861,8,235,90.08743279,3.6,7.5,32,47,547287.25
4.2,47,49.6,3667,39025,11,996,143.989997,9.8,8.6,6,18,541366.95
4.3,42,47.27,3363,33350,1,167,260.7354648,6.3,5.8,35,34,452147.09
4.1,59,31.64,1454,23561,4,834,75.39636429,8.5,8.7,43,20,428440.81
3.4,49,60.6,3172,32955,6,175,283.8618373,1.4,4.4,8,17,667469.35
4.5,56,35.21,3232,36183,10,181,236.2888654,1,4.3,51,28,454266.18
4.6,37,59.31,1092,12605,15,210,159.8332334,5.7,8.1,10,26,507312.34
4.1,70,65.48,3430,40469,8,751,134.6803415,8.4,3.2,32,39,1030927.93
4,67,52.77,932,15790,14,642,86.90160079,6.5,7.5,41,52,803673.32
3.2,61,33.2,2911,29695,2,923,73.41838122,6.6,1.7,46,4,459026.05
3.2,67,67.7,2584,34009,6,761,155.8986447,2.3,6.7,58,21,1016308.85
3.7,81,33.57,6892,69997,3,395,260.7746231,9.8,9.5,58,55,626569.49
3.6,89,42.96,1616,17617,2,988,182.9626344,5.8,5.1,24,13,851653.73
4.9,78,54.01,7156,72915,14,133,162.7871949,1.9,4.7,26,39,958055.22
4.6,71,71.47,6558,74360,18,91,129.7606296,4.7,5.9,14,0,1149324.61
4.3,83,38.55,6497,66160,15,484,89.23747783,1.6,7.5,76,76,740154.45
4,53,68.42,1743,25271,4,215,297.5248237,4.8,4.2,40,26,811474.71
3.3,84,31.37,4570,46428,16,476,56.43314825,7.4,1,79,48,611394.91
5,66,45.27,3735,43559,12,97,127.9539754,3.9,5.5,20,57,682492.82
3.8,88,42.02,6275,63867,17,91,242.3448613,3.8,4.8,75,80,850410.39
3.2,35,45.3,1778,24218,1,234,180.1395391,5.6,5.8,0,7,358587.5
4,58,62.29,2571,32758,9,871,128.4637252,5.5,7.4,12,27,816323.29
4.7,46,34.92,3323,40277,12,914,298.1848264,5.2,3.6,7,25,378127.87
4.8,64,40.7,1379,15705,5,281,204.792411,5.7,5.5,43,19,586990.35
3,34,44.01,1962,24902,17,450,123.7889458,1.4,3.3,13,18,353500.87
4.8,87,36.88,8001,87003,3,740,261.9882858,5.3,5.1,79,13,732099.25
3.5,73,52.92,5534,53912,6,186,87.54103794,9.9,4.1,49,24,874263.8
3.1,90,60.34,2371,25267,3,773,165.8935187,7.9,4.3,18,35,1207965.27
4.7,51,32.06,3406,35782,6,569,259.8971991,3.6,6.2,9,27,378168.4
4.7,48,32.69,1685,20635,13,282,295.9145131,7.1,7.2,30,7,369120.06
4.2,74,31.02,5265,59438,19,417,145.7643981,4,1.1,66,48,539499.8
4.1,33,55.33,1870,27018,15,671,84.5274147,2.7,8.9,1,32,427993.7
4.6,34,72.11,2519,26333,7,631,191.73238,8,4.3,17,5,558024.63
4.6,88,51.98,2253,26626,13,442,285.9982595,2.9,6.8,13,0,1025879.1
4.8,82,56.58,9281,98393,2,551,216.4029341,8.7,2.1,65,4,1047310.81
4.1,45,28.84,2422,28069,19,416,200.5398848,4.4,6.1,23,8,315230.69
4.9,81,41.44,8056,85505,19,160,127.3229942,7.8,7.1,61,7,781051.33
5,78,26.53,2614,26987,3,310,201.584955,3.3,2.4,65,40,467711.46
3.2,85,44.38,4045,48337,3,633,271.1694994,6.9,9.2,23,71,851105.77
4.7,63,45.3,4039,41024,6,113,143.8814972,2.9,7.8,13,37,646954.8
4,30,36.13,1390,14295,13,741,110.5134135,1.2,5.8,23,20,259709.44
3.8,49,56.28,2000,25374,14,852,170.239393,8.3,2.5,0,18,630326.42
4.2,70,40.81,1630,16038,6,549,144.0469486,8.7,8.8,45,2,646630.27
3.1,33,71.82,666,13022,9,109,167.4814984,8.9,1.6,10,15,536956.74
4,78,59.44,7360,81047,10,138,73.93241001,1.3,2,14,64,1047008.75
4.7,48,48.18,4385,44451,16,405,134.0524999,7.8,7.3,7,9,540399.09
3.4,83,63.9,1406,21321,15,600,256.6369517,8.5,3.3,28,69,1192983.65
3.9,61,65.75,2242,23203,12,418,150.0802773,3.8,5.1,58,4,904239.9
4.9,73,48.08,8387,92101,13,541,291.9737753,5.2,5.9,29,16,807636.11
3.9,36,25.43,2947,31072,18,695,227.2112028,4.7,5.1,24,20,231873.14
3.7,46,65.15,3344,41778,2,905,141.5091466,5,1.8,2,28,672590.5
3.9,30,48.89,2659,29649,14,936,112.9159221,8.6,7.6,17,29,352899.19
4,63,37.14,1495,23436,17,454,221.3419968,4.8,3.2,0,30,538857.08
4.3,64,57.95,2058,28939,1,981,125.6116225,3.7,7.6,26,2,826995.75
4.6,41,54.03,4112,42136,11,67,281.723205,2.2,8.8,23,37,513285.97
3.9,81,56.79,6188,65743,14,417,79.08397034,7.1,5.8,23,59,1045907.74
4.6,55,43.58,3856,43033,12,306,57.18508364,1.8,7.4,39,27,552945.03
4.1,42,52.43,3378,38001,14,270,105.2566939,1.6,1.3,2,27,506728.66
3.7,45,28.59,2305,24332,17,322,201.6547833,7.1,1.3,0,0,308272.55
4.3,63,71.01,3793,37588,12,426,258.7405005,7.2,2.8,56,11,1009903.54
4.4,56,49.89,3657,37470,6,296,92.53201749,2.8,4.2,6,15,630349.65
4.1,65,36.41,4071,47929,9,931,196.1807148,9.6,2.6,21,7,544780.78
3.1,78,54.98,5629,56328,12,439,86.038275,8.1,6.7,10,69,975049.68
3.3,83,61.27,1568,14794,17,619,190.7946621,7.2,3.5,67,50,1147553.08
3.6,36,39.68,1734,24727,16,296,54.54556953,7.8,8.6,17,8,342458.47
3.6,61,54.06,2393,27596,2,222,189.4517721,4.7,6,10,17,736410.46
4.3,72,25.88,4141,49128,18,377,180.4439595,5.1,4.4,65,28,442654.58
3,63,47.28,1765,19485,16,172,60.71198482,8.8,9,53,10,684166.55
4.5,48,66.6,3597,40382,10,778,222.3542228,1.2,8.5,22,17,726517.2
